TT,Nhóm mẫu,Số hiệu,Họ,Loài,Tác giả,Tên việt,Nơi thu,Ngày thu,Long,Lat,CT,IUCN,SĐVN,KT,TP,LC/MN,Thông tin
329,Thực vật biển,E.52,Rhodomelaceae,Acanthophora spicifera,(M.Vahl) Børgesen 1910,"Rong Cứt đài, Rong Gai, Rong gai bông",,,,,,,,,,,"Ngành: Ngành rong Đỏ (Rhodophyta)
Bộ: Ceramiales
Chi: Acanthophora

Đặc điểm:Rong có màu đỏ nhạt đến vàng nâu. Rong dạng trụ đứng, chia chạc hai không đều, thon dần về phía đỉnh, mang các nhánh nhỏ xếp xoắn ốc suốt nhánh. Phần ngọn của nhánh nhỏ có 3 – 5 gai nhọn. Rong cao khoảng 10cm, cứng như sụn, nhánh nhiều, rộng 0,2mm, từ từ nhỏ dần về phía đỉnh mang nhiều nhánh phụ nhỏ.
Sinh học, sinh thái: Rong bám trên đá, sỏi đá nhỏ, trên rạn san hô ở vùng triều thấp và phần trên vùng dưới triều, nơi sóng vừa.
Phân bố: 
Thế giới Phân bố ở các đảo vùng biển Caribe, Đại Tây Dương, Ấn Độ Dương, Thái Bình Dương; châu Mỹ, Phi, Á, Đông Nam Á, Australia và New Zealand… 
Việt Nam Nam Du,Lý Sơn, Trường Sa lớn, Phú Quý, Côn Đảo… 
Giá trị sử dụng: Thực phẩm, thức ăn của rùa biển; chiết xuất carrageenan, chất kháng sinh."
330,Thực vật biển,E.54,Rhodomelaceae,Acrocystis nana,Zanardini 1872,Rong Đỉnh nang,,,,,,,,,,,"Ngành: Ngành rong Đỏ (Rhodophyta)
Bộ: Ceramiales
Chi: Acrocystis

Đặc điểm: Thân có màu nâu tím sẫm, nhìn như những bong bóng nhỏ, thân có dạng trụ bò, phân nhánh, đỉnh phía trên có dạng hình cầu hoặc hình dạng củ hành, cấu trúc hình cầu này sẽ thay đổi hình dạng thành hình quả lê hay hình trứng ngược theo độ tuổi của rong, phần đỉnh sẽ tròn hoặc lõm xuống tri trưởng thành.
Sinh học, sinh thái: Thường tập trung thành các cụm nhỏ ở vùng triều thấp và thành các mảng lớn ở dọc theo những nơi có bóng râm và ẩm ướt như trên các bờ đá. 
Phân bố:
Thế giới: Nhật Bản, Đài Loan, Malaysia,...
Việt Nam: Khánh Hòa, Kiên Giang, Bình Thuận,.."
331,Thực vật biển,E.53,Rhodomelaceae,Amansia rhodantha,(Harvey) J.Agardh 1841,Rong Hải cúc,,,,,,,,,,,"Ngành: Ngành rong Đỏ (Rhodophyta)
Bộ: Ceramiales
Chi: Amansia

Đặc điểm: Rong có màu đỏ hồng, trục chính có dạng hình dĩa hoặc hình tròn, mang các chùm có hình như bông hoa của các nhánh thứ cấp có chiều dài 15mm, rộng 3-4mm và dày 50-75µ, Các nhánh bên có răng cưa phần mép lá. Nhìn từ bề mặt lá có các hàng tế bào xếp ngang và đều nhau.
Sinh học, sinh thái: Rong mọc trên nền đá hoặc nền san hô chết ở vùng dưới triều nơi có sóng mạnh
Phân bố: 
Thế giới: Philliphin, Nhật Bản, Nam Phi, Trung Quốc
Việt Nam: Quảng Ngãi, Khánh Hòa,.."
332,Thực vật biển,E.15,Anadyomenaceae,Anadyomene wrightii,Harvey ex J.E.Gray 1866,Rong Hải nga,,,,,,,,,,,"Ngành: Ngành rong Lục (Chlorophyta)
Bộ: Cladophorales
Chi: Anadyomene

Đặc điểm:Rong có màu xanh đến vàng nhạt. Rong khi còn non có dạng lá, nhiều phiến chụm lại trông như cánh hoa, khi trưởng thành có hình thận đường kính 2-3 cm, mép nhăn gợn sóng. Trên bản lá có 5-10 gâ, sắp xếp  theo kiểu phóng xạ chia nhánh chạc hai tương đối đều, gân giữa tế bào hình trụ, hình gậy 240-600µ, rộng 80-120µ ở gốc, dài 100-140µ và rộng 65-95µ ở phần ngọn. Tế bào giữa các gân có hình trứng, hình đa giác dài 30-90µ, rộng 14-45µ, dưới phần gốc là các rễ giả bám vào vật bám.
Sinh học, sinh thái: Rong mọc bò trên mép hoặc chỗ tối của phiến đá, ở mực triều thấp đến vùng dưới triều, nơi sóng vừa ở độ sâu 1-3m
Phân bố: Trung Quốc, Nhật Bản, Đài Loan,.. Ở Việt Nam phân bố ở Quảng Trị, Đà Nẵng, Khánh Hòa, Vũng Tàu."
333,Thực vật biển,E.43,Bonnemaisoniaceae,Asparagopsis taxiformis,(Delile) Trevisan 1845,"Rong Hải tùng, Rong Măng leo biển",,,,,,,,,,,"Ngành: Ngành rong Đỏ (Rhodophyta)
Bộ: Bonnemaisoniales
Chi: Asparagopsis

Đặc điểm: Rong màu đỏ thẫm, đỏ hay hồng. Rong mọc từng bụi hay tập trung thành đám, phần gốc mọc bò, phần trên thẳng đứng; bám vào vật bám bằng rễ giả, cài quấn vào nhau, mọc từ mặt dưới của thân bò. Thân đứng mọc lên từ thân bò, dạng trụ tròn, màu hồng nhạt, sụn mềm, cao 10-20 cm, đường kính 2-2,5 cm, có trục chính rõ ràng, phần gốc của trục chính ít khi chia nhánh và gần như trơ trọi, phần nửa trên chia nhánh rất rậm, theo kiểu mọc cách; nhánh vuốt thẳng và có cùng độ dài 1,5-2 cm, trên đó mọc ra nhánh thứ cấp và các bó nhánh nhỏ dạng sợi rất mảnh (xếp theo hình lông chim). 
Sinh học, sinh thái: Rong mọc trên đá hay trên rạn san hô chết ở phía trên của vùng dưới triều, trong các khe vũng của vùng triều, nơi sóng vừa đến mạnh
Phân bố: 
Thế giới: Phân bố ở các đảo vùng biển Caribe, Đại Tây Dương, Ấn Độ Dương, Thái Bình Dương; châu Mỹ, châu Phi, châu Âu, châu Á, Đông Nam Á
(Indonesia, Philippines, Singapore, Thái Lan), Australia và New Zealand…
Việt Nam: Nam Du, Cô Tô, Bạch Long Vỹ, Cồn Cỏ, Lý Sơn, Trường Sa lớn, Phú Quý, Côn Đảo,Thổ Chu…
Giá trị sử dụng: Thực phẩm, thức ăn gia súc; chiết xuất chất chống nấm, bướu cổ, kháng sinh."
334,Thực vật biển,E.1,Dichotomosiphonaceae,Avrainvillea erecta,(Berkeley) A.Gepp & E.S.Gepp 1911,Rong Cọ đứng,,,,,,,,,,,"Ngành: Ngành rong Lục (Chlorophyta)
Bộ: Bryopsidales
Chi: Avrainvillea

Đặc điểm:Rong có màu lục nhạt. Thân rong cao 3-6 cm, mềm mại như vải nhiễu; mọc đơn hay 2-3 cây với nhau. Có cuống ngắn. Bám bằng rễ giả hình trụ do các sợi chằng chịt tạo thành, dài 5-10 cm, đường kính 1-1,6 cm, cắm sâu vào đất cát. Phiến hình quạt, rộng 2,5-7,5 cm, mép không nhẵn có tua viền, có vòng động tâm và sọc như tia phóng xạ. Các sợi không có ngấn, (trừ ở ngọn) đường kính 20- 40 µm; ở trên chỗ xẻ chạc hai có eo, thắt lại. Thể sắc tố hình dải hay hình quả xoan. Rong màu lục nhạt đến vàng nhạt, rễ giả màu trắng xám.
Sinh học, sinh thái:Rong ưa phát triển trên các bãi cát bùn ở ven đảo, vùng cửa sông. Chúng mọc ở vùng triều thấp đến vùng dưới triều tới độ sâu 10-15m.
Phân bố: trên thế giới Malaixia, Philippin, Trung Quốc, Nhật Bản, Ấn Độ Dương; Việt Nam: Bình Định (Qui Nhơn), Khánh Hoà (Nha Trang), Bà RịaVũng Tàu (Côn Đảo)."
335,Thực vật biển,E.42,Rhodomelaceae,Bostrychia binderi,Harvey 1849,"Rong Hồng bách Binder, Rong lông quăn đai",,,,,,,,,,,"Ngành: Ngành rong Đỏ (Rhodophyta)
Bộ: Ceramiales
Chi: Bostrychia

Đặc điểm: Rong có màu đỏ hồng.  Trục chính hình trụ tròn, mọc bò, mang các nhánh nhỏ mọc cách trên một mặt phẳng, nhánh cong xuống ở phần ngọn. Túi bào tử hình bầu dục, hình thành ở đỉnh nhánh nhỏ.
Sinh học, sinh thái: Loài gặp trên đá hay trong khe đá mọc thành bụi rậm, nơi bọt sóng đánh.
Phân bố: 
Thế giới: Trung Quốc, Đài Loan, Myanmar, Philippines, Singapore, Thái Lan,…
Việt Nam: Tìm thấy ở các vùng biển Việt Nam"
336,Thực vật biển,E.18,Bryopsidaceae,Bryopsis pennata,J.V.Lamouroux 1809,"Rong Lông chim dài, rong lục tùng",,,,,,,,,,,"Ngành: Ngành rong Lục (Chlorophyta)
Bộ: Bryopsidales
Chi: Bryopsis

Đặc điểm: Rong có màu lục đậm. Thân rong cao từ 2,5 - 5,5 cm, mọc thành bụi lớn bám vào đá nhờ rễ giả, thân chính to khoảng 145-155µ vách dày, nhánh nhỏ bậc 2,3 hơi ocng về phía đỉnh, sắp xếp trên một mặt phẳng kiểu hình lông chim đều và dài gần bằng nhau, có vách ngăn ở đáy. Các nhánh nhỏ thường có đường kính 50-80µ. Thể sắc tố hình thoi, sắp xếp song song theo chiều dài của thân kích thước khoảng 16x5µ với 1-2 hạt tạo bột hình cầu hay hình xoan to 3µ
Sinh học, sinh thái:Rong mọc bám trên các mẫu gỗ hoặc đá san hô vùng dưới triều, rong phát triển tốt nhất từ tháng 1-3.
Phân bố: 
Thế giới: phân bố ở Đại Tây Dương (bờ châu Âu, châu Mỹ), biển Caribe, Brazil, Colombia, Peru, Chile, Triều Tiên, Trung Quốc, Nhật Bản, Australia, Indonesia…
Việt Nam: Nghệ An (Quỳnh Lưu: Quỳnh Tiẽh), Kiên Giang (Phú Quốc), Khánh Hoà (Nha Trang: Hòn Chồng)."
337,Thực vật biển,E.29,Dictyotaceae,Canistrocarpus crispatus,(J.V.Lamouroux) De Paula & De Clerck 2006,Rong võng,,,,,,,,,,,"Ngành: Ngành rong Nâu (Ochrophyta, Phaeophyceae)
Bộ: Dictyotales
Chi: Canistrocarpus

Đặc điểm: Rong đứng, phân nhánh nhiều, không bị rối vào nhau, có màu nâu, có thể cao đến 15 cm. Nhánh dạng đai, chia nhánh chạc hai đều, rộng 3-6 mm, các nhánh phía trên chia góc 30-50º , ở những tản già mép nhánh đôi khi có gai.
Sinh học, sinh thái: Rong sống bám trên đá ở vùng triều và vùng dưới triều
Phân bố: 
Thế giới: Phân bố ở các đảo vùng Caribe, Đại Tây Dương; châu Mỹ, châu Phi, châu Á, Đông Nam Á (Philippines,Singapore); Australia và New Zealand…
Việt Nam: Nghệ An (Quỳnh Lưu: Quỳnh Tiẽh), Kiên Giang (Phú Quốc), Khánh Hoà (Nha Trang: Hòn Chồng), Lý Sơn"
338,Thực vật biển,E.4,Caulerpaceae,Caulerpa chemnitzia,(Esper) J.V.Lamouroux 1809,"Rong guột chùm tán, rong guột khiên, rong cầu lục chùm tán, rong cầu lục khiên",,,,,,,,,,,"Ngành: Ngành rong Lục (Chlorophyta)
Bộ: Bryopsidales
Chi: Caulerpa

Đặc điểm: 
Dạng chùm tán: Rong cao 2-3 cm,mọc bò lan thành cụm, màu lục thẫm.Thân bò dạng trụ tròn, chia nhánh, mặt dưới có rễ giả. Thân đứng dạng trụ tròn, nhánh nhỏ dạng tán ô, có cuống dài mọc cách trên thân đứng và thân bò, đường kính ô 3-4 mm, chiều dài của cuống 3-8mm.
Dạng chùm dài: Rong cao 3-10 cm, gồm các thân bò dạng trụ tròn, chia nhánh, có rễ giả, nhánh nhỏ dạng trụ tròn đến dạng cái chày, màu lục nhạt khi tươi.
Sinh học, sinh thái: Rong mọc bám trên đá hoặc san hô chết ở vùng triều thấp đến dưới triều, nơi sóng vừa (dạng chùm tán). Rong mọc bám trên đá ở chỗ tối, ở vùng triều thấp đến dưới triều, nơi sóng vừa đến yên sóng (dạng chùm dài)
Phân bố:
Thế giới: Phân bố ở quần đảo Bermuda, biển Caspi, Brazil, Trung Quốc, Philippines, châu Đại Dương, Nhật Bản, Indonesia, Xri Lanka, biển Đỏ, Australia…
Việt Nam: Nam Du. Còn bắt gặp phân bố tại Bạch Long Vỹ, Cồn Cỏ, Lý Sơn, Trường Sa lớn, Phú Quý, Côn Đảo, Thổ
Chu…
Giá trị sử dụng: Hạ huyết áp, thực phẩm."
