TT,Nhóm mẫu,Số hiệu,Họ,Loài,Tác giả,Tên việt,Nơi thu,Ngày thu,Long,Lat,CT,IUCN,SĐVN,KT,TP,LC/MN,Thông tin
1,Cá,E.57105,Serranidae,Cephalopholis urodeta,"(Forster, 1801)",Cá Mú rạn,Song Tử Tây,29.03.2021,11°25'32.2,114°19'39.5,,,,1,1,1,"Cá Mú rạn
Darkfin hind

Đặc điểm: 
D. IX, 14-16; A. III, 8 - 9
Chiều dài cơ thể lớn nhất được ghi nhận ở cá mú rạn là 28 cm, Cơ thể có màu nâu đỏ đến nâu xám nhạt trở nên sẫm màu hơn về phía sau, với các sọc xiên màu trắng đến xanh nhạt đặc biệt chạy dọc thùy trên và thùy dưới của đuôi, thường có sáu sọc mờ dọc theo bên chia bụng, các đốm nhỏ màu đỏ cam trên đầu và gáy, có một cặp đốm đen ở phía trước môi dưới.
Sinh thái: sống trong vùng nước sạch của rạn san hô,  nhiều trong các rạn được bảo vệ, độ sâu phân bố từ 2-150m. Thức ăn là cá và giáp xác. Là loài chuyển đổi giới tính cái sang đực, sống thành nhóm gồm 1 con đực và từ 2-12 con cái, chúng chiếm cứ lãnh thổ 475m2 và chia thành các vùng phụ và được bảo vệ bỡi 1 con cái.
Phân bố:
Thế giới: vùng biển Ấn Độ- Thái Bình Dương: Biển Đỏ đến Durban (Nam Phi), phía đông đến quần đảo Line. Bắt gặp hầu hết ở các đảo biển Ấn Độ Dương và Trung Tây Thái Bình Dương. Không phát hiện thấy ở vịnh  Persian và vịnh Oman.
Việt Nam: vùng rạn san hô ven bờ và các đảo từ Quảng Ninh đến Kiên Giang."
2,Cá,E.57106,Acanthuridae,Acanthurus nigrofuscus,"(Forsskål, 1775)",Cá Bắp nẻ nâu,Song Tử Tây,30.03.2021,11°26'07.0,114°20'04.5,,,,1,,1,"Cá Bắp nẻ nâu
Brown surgeonfish

Đặc điểm: Có màu nâu, có thể có các đường dọc nhỏ màu xám trên thân, vây ngực có màu nhạt với mép trên hẹp có màu đen, vây bụng màu đen, môi có màu đen, răng hàm trên nhọn, gốc vây lưng có một đốm đen nổi rõ lớn hơn 1/2 đường kính mắt; một đốm nhỏ hơn ở gốc vây hậu môn. Rãnh gai đuôi có viền đen hẹp bao quanh. Cơ thể rất dẹp với mắt cao trên đầu và xương trước ổ mắt dài. Vây lưng đơn không khía có 4-9 gai và 19-31 tia. Vảy lược rất nhỏ. Miệng cuối nhỏ với một hàng răng khít nhau.
Sinh học, sinh thái: Được tìm thấy trên nền cứng của đầm phá nông và các rạn san hô, vùng dưới triều có độ sâu 0-25m, tdi chuyển theo những bầy đàn lớn dọc theo những rạn san hô. Thức ăn chủ yếu là tảo.
Phân bố: 
Thế giới: Ấn Độ Dương, Thái Bình Dương, Nam Phi, các đảo ở Hawaii, Nhật Bản,...
Việt Nam: Khánh Hòa, Phú Yên,.."
17,Cá,E.57121,Cirrhitidae,Cirrhitus pinnulatus,"(Forster, 1801)",Cá Ông chấm mắt cao,Song Tử Tây,30.03.2021,11°26'07.0,114°20'04.5,1,,,1,,1,"Cá Ông chấm mắt cao
Stocky hawkfish

Đặc điểm: 
D. X, 11; A. III, 6
Cá Ông chấm mắt cao có chiều dài tối đa là 30cm, đầu có mõm ngắn, cùn và miệng lớn kéo dài đến tận mép sau của mắt và có một gờ xương thấp phía trên. Cơ thể có màu nâu với các đốm trắng và các đốm nâu đỏ không đều trên cơ thể. Đầu có các đường và đốm hình sin màu đỏ cam. Có một đốm đen giống như yên ngựa ở phần lưng của cuống đuôi
Sinh thái: Sống trong rạn san hô và rạn đá ven bờ, có độ sâu 0-23m, thường gặp ở độ sâu 1-3m. Chúng là loài săn mồi với thức ăn chủ yếu là cua và giáp xác nhỏ, cá và sao biển có kích thước nhỏ.
Phân bố: 
Thế giới: vùng biển Ấn Độ - Thái Bình Dương:  Biển Đỏ và Đông Phi đến  quần đảo Marquesas và Mangaréva, phía bắc đến nam Nhật Bản và quần đảo Hawaii, phía nam đến quần đảo Kermadec và Rapa. 
Việt Nam: vùng rạn đá, rạn san hô ven bờ và các đảo từ Quảng Ninh đến Kiên Giang, quần đảo Trường Sa."
18,Cá,E.57122,Cirrhitidae,Paracirrhites arcatus,"(Cuvier, 1829)",Cá Ông chấm,Song Tử Tây,30.03.2021,11°26'07.0,114°20'04.5,1,,,1,,1,"Cá Ông chấm
Arc-eye hawkfish

Đặc điểm:
D. X, 11; A. III, 6;
Kích thước tối đa của cá Ông chấm là 20 cm. Cá có màu hồng, hoặc màu nâu, sau mắt có vòng được tạo bởi các đường màu vàng, đỏ và xanh lam, phần dưới của nắp mang có ba vạch màu cam, một vạch trắng lớn kéo dài từ giữa thân tới khấu đuôi
Sinh thái: Loài cá biển này thường sinh sống ở những rạn san hô có độ sâu từ 1 m tới 91m, thông thường là từ 1 m tới 33 m, chúng ăn chủ yếu là tôm, cá nhỏ, cua và một số loài giáp xác
Phân bố:
Thế giới: Chúng sinh sống ở những vùng biển nhiệt đới có nhiệt độ từ 25 °C tới 27 °C như Biển Ấn Độ dương, Đông Phi, Hawaii, quần đảo Mangareva, Từ bắc tới nam biển Nhật Bản, phía Nam Australia và Rapa.
Việt Nam: Vùng biển Trường Sa, Phú Yên,.."
19,Cá,E.57123,Labridae,Halichoeres marginatus,"Rüppell, 1835",Cá Bàng Chài nhiều chấm,Song Tử Tây,30.03.2021,11°26'07.0,114°20'04.5,,,,1,,1,"Cá Bàng Chài nhiều chấm
Dusky wrasse

Đặc điểm:
D. IX, 13-14; A. III, 12-13
Cá Bàng Chài nhiều chấm có chiều dài cơ thể lớn nhất được ghi nhận là 18cm. Cá đực trưởng thành có màu xanh lục hoặc nâu cam với các đốm màu xanh tím trên vảy xếp thành các hàng sọc ở hai bên thân, đầu có nhiều vệt sọc màu xanh lam, cuống đuôi có một dải sọc hình lưỡi liềm màu xanh lục tươi tiếp đến là một dải màu đỏ được viền xanh lơ, lốm đốm các chấm xanh lục, cuối cùng là một dải viền vàng ở sát rìa, vây ngực có đốm vàng, vây lưng và vây hậu môn màu nâu đỏ, có nhiều vệt đốm màu xanh lục với dải xanh lam gần rìa và dải vàng nâu ở ngay rìa. Cá cái có màu nâu sẫm với những hàng sọc ngang màu nâu đen ở hai bên thân, vây lưng có hai đốm màu xanh đen, vây đuôi trắng. Cá con màu nâu đen với 2 đốm ở vây lưng như cá cái, nhưng thân có thêm các sọc đốm màu vàng.
Sinh thái: Chúng sống trên rạn san hô viền bờ và trong đầm phá, đặc biệt là khu vực có nhiều san hô phát triển, ở độ sâu đến dưới 30m. Thức ăn của chúng đa dạng bao gồm các loài thủy sinh không xương sống và có cả trứng của những loài cá khác. Chúng sống đơn độc hoặc hợp thành một nhóm nhỏ.
Phân bố:
Thế giới: Biển Đỏ, vịnh Ba Tư, Đông Phi, Nhật Bản,..
Việt Nam: Quảng Nam, Quảng Ngãi, Phú Yên, Ninh Thuận, Khánh Hòa,…"
20,Cá,E.57124,Serranidae,Cephalopholis spiloparaea,"(Valenciennes, 1828)",Cá Mú đỏ dâu,Song Tử Tây,30.03.2021,11°26'07.0,114°20'04.5,1,,,1,1,,"Cá Mú đỏ dâu
Strawberry hind

Đặc điểm:
D. IX, 14-16; A. III, 9 - 10.
Đặc trưng bởi toàn thân có màu đỏ hồng đến đỏ cam nhạt, lốm đốm các chấm nhỏ màu đỏ sẫm đến đỏ nâu, vây đuôi có dải màu trắng hình vòng cung ngang mép đuôi. Chiều dài thân chuẩn cá gấp 2,7 - 3,2 lần chiều cao thân; vây đuôi tròn; chiều dài đầu bằng 1,9 - 2,2 chiều dài vây bụng; mắt lớn, đường kính gấp đôi khoảng gian cách mắt. Răng mịn, khía nông.
Sinh học, sinh thái: Cá Mú đỏ dâu được xem là loài phổ biến nhất ở rạn san hô, chúng sống ở các độ sâu dưới 40m. Thức ăn chủ yếu là cua và một số loài giáp xác khác.
Phân bố: 
Thế giới:Ấn Độ Dương - Thái Bình Dương: Pinda, Mozambique đến Polynesia thuộc Pháp, phía bắc đến quần đảo Ryukyu, phía nam đến đảo Heron (cuối phía nam của Great Barrier Reef).
Việt Nam: Mẫu thu được ở vùng biển các đảo: Song Tử Tây, Thuyền Chài, Tốc Tan,"
21,Cá,E.57125,Labridae,Stethojulis bandanensis,"(Bleeker, 1851)",Cá Bàng Chài chấm đỏ,Đá Nam,01.04.2021,11°22'36.6,114°18'22.4,1,,,1,,1,"Cá Bàng Chài chấm đỏ
Red shoulder wrasse

Đặc điểm:
D. IX, 11-12; A. III, 11;
Chiều dài cơ thể tối đa là 15 cm. Con đực có một vệt màu đỏ ửng trên gốc vây ngực, có 4 dải sọc màu xanh lam sáng: sọc trên cùng từ mắt dọc theo gốc vây lưng xuống cuống đuôi; sọc thứ hai ngắn nằm trên mõm, ngang mắt và kéo dài đến thân trước; sọc thứ ba (dài đến khoảng nửa thân trước) từ khoé miệng băng xuống dưới mắt, vòng lên trên vệt đốm đỏ; dải dưới cùng từ cằm băng qua gốc vây ngực kéo dài đến giữa vây đuôi, có vệt màu vàng trên má. Cá cái có màu xám với những đốm trắng nhỏ chi chít bao phủ khắp phần thân trên, dưới mắt có một vệt vàng tươi, một đốm đỏ ở trên gốc vây ngực và hai đốm đen nhỏ ở giữa cuống đuôi. Cá con có thêm các đốm ở sau vây lưng và vây hậu môn
Sinh thái: Thường được tìm thấy ở vùng nước nông trong của các bãi san hô, đầm phá và các rạn san hô hướng ra biển, ở các khu vực có nhiều cát, đá vụn và san hô, độ sâu ghi nhận là 0-30m. Thức ăn chủ yếu là động vật giáp xác phù du ở tầng đáy và động vật không xương sống nhỏ ở đáy.
Phân bố:
Thế giới: Khu vực Ấn Độ Dương-Thái Bình Dương: phía đông Ấn Độ Dương đến phía tây Australia, Nhật Bản,..
Việt Nam: Ghi nhận tai vùng biển Khánh Hòa, Phú Yên, Quãng Ngãi,.."
22,Cá,E.57126,Monacanthidae,Pervagor melanocephalus,(Bleeker 1853),Cá Bò giấy đuôi đỏ,Đá Nam,01.04.2021,11°22'36.6,114°18'22.4,,,,1,,1,"Cá Bò giấy đuôi đỏ
Redtail filefish

Đặc điểm:
D. I-II, 30-33; A27-30;
Kích thước lớn nhất ghi nhận là 16cm. Đầu và thân trước có màu nâu đen đến đen xanh, phần còn lại của cơ thể màu cam, có một đốm đen bao quanh lỗ mang và gốc vây ngực, vây đuôi có màu đỏ cam với các đường lượn sóng màu xanh đậm đến hơi đen. 
Sinh thái: Thường sống trong các vùng nước sâu có san hô mềm và bọt biển với độ sâu từ 20-40m, thức ăn của chúng chủ yếu là bao gồm cua, ốc, giun và động vật thân mềm cỡ nhỏ và cả tảo
Phân bố:
Thế giới: Khu vực Đông Ấn Độ Dương, Tây Ấn Độ Dương, Úc, Nhật Bản, Indonesia,..
Việt Nam: Khu vực Trường Sa,.."
23,Cá,E.57127,Pomacentridae,Amphiprion clarkii,(Bennett 1830),Cá Khoang cổ đuôi vàng,Đá Nam,01.04.2021,11°22'36.6,114°18'22.4,1,,,1,,1,"Cá Khoang cổ đuôi vàng
Yellowtail clownfish

Đặc điểm: Loài cá này có nhiều biến thể màu khác nhau, nhưng thường được thấy nhất là thân màu đen với các vùng màu cam trên đầu, bụng và các vây. Các vùng màu đen sẽ lan rộng hơn khi chúng phát triển thành cá cái. Có 3 dải sọc trắng trên đầu, giữa thân và gốc vây đuôi. Vây đuôi màu vàng hoặc màu trắng viền vàng (đối với cá đực). Thân cao và dẹp bên. Miệng nhỏ. Số gai ở vây lưng: 10; Số tia vây ở vây lưng: 15–16; Số gai ở vây hậu môn: 2; Số tia vây ở vây hậu môn: 13–14.
Sinh học, sinh thái: Thường sống ở những rạn san hô, quanh những xúc tu của hải quỳ, thường sống theo từng cặp hoặc nhóm, ăn tạp.
Phân bố: 
Thế giới: có phạm vi phân bố rộng khắp khu vực Ấn Độ Dương - Thái Bình Dương, Vịnh Ba Tư, phía Đông Ấn Độ, vùng biển các nước Đông Nam Á, Đài Loan vùng biển phía nam Nhật Bản,..
Việt Nam: Khánh Hòa (Trường Sa)"
24,Cá,E.57128,Scaridae,Scarus psittacus,"Forsskål, 1775",Cá Mó thường,Đá Nam,01.04.2021,11°22'36.6,114°18'22.4,1,,,1,,1,"Cá Mó thường
Common parrotfish

Đặc điểm:
D. IX, 10; A. III, 9;
Có chiều dài cơ thể tối đa là 34 cm, vây đuôi của cá đực lõm sâu hơn ở cá cái, tạo thành hình lưỡi liềm, có răng nanh ở phía sau phiến răng của hàm trên. Cá cái màu nâu đỏ hoặc nâu xám, phớt màu cam ở ngực và bụng, vùng mõm nhạt hơn đầu, có đốm đen ở gốc vây ngực và một đốm nâu sẫm ở màng vây lưng thứ nhất. Cá đực có màu xanh lục với các vạch màu hồng cam trên vảy, mõm có màu tím, bao quanh miệng là một dải màu xanh lam kéo dài thành một vệt sọc, vây lưng và vây hậu môn cùng hai thùy đuôi có viền xanh lam; thường có màu vàng ở cuống đuôi
Sinh thái: Chúng thường sống ở các bãi đá ngầm, rạn san hô viền bờ và rạn san hô trong các đầm phá ở độ sâu đến 30 m, thức ăn chủ yếu là tảo
Phân bố:
Thế giới: Tây Úc, quần đảo Hawaii, Nhật Bản,..
Việt Nam: Vùng biển Khánh Hòa, Ninh Thuận,.."
25,Cá,E.57129,Serranidae,Epinephelus hexagonatus,"(Forster, 1801)",Cá Mú chấm sao,Đá Nam,01.04.2021,11°22'36.6,114°18'22.4,,,,1,1,,"Cá Mú chấm sao
Starspotted grouper

Đặc điểm: 
D. XI, 15-17; A. III, 8
Loài cá Mú chấm sao có chiều dài thân chuẩn cá gấp 2,8 - 3,5 chiều cao thân, bằng 2,5- 2,6 chiều dài đầu. Toàn thân cá được bao phủ bởi các đốm nâu đa giác (chủ yếu là hình lục giác) có xu hướng hợp nhất; có 4 hoặc 5 vết đen hình yên ngựa màu nâu nâu (hình thành bởi các nhóm đốm đậm hơn) trên phần lưng của thân và cuống đuôi. Các vây có các đốm nâu sẫm hoặc nâu đỏ; vây bụng và vây hậu môn có mép nâu nhạt.
Sinh thái: Cá trưởng thành sống xung quanh các rạn san hô và các bãi đá ngầm ở độ sâu dưới 30m; cá con sống ở vùng nước nông hơn. Thức ăn của cá Mú chấm sao là các loài cá nhỏ hơn, động vật thân mềm và động vật giáp xác
Phân bố: 
Thế giới: Ấn Độ Dương - Thái Bình Dương.
Việt Nam: Mẫu thu được ở vùng biển các đảo: Đá Nam, Nam Yết, Thuyền Chài."
26,Cá,E.57130,Synodontidae,Saurida gracilis,"(Quoy & Gaimard, 1824)",Cá Mối nhặng,Đá Nam,01.04.2021,11°22'36.6,114°18'22.4,,,,1,1,,"Cá Mối nhặng
Gracile lizardfish

Đặc điểm:
D11-12; A9-10;
Chiều dài cơ thể lớn nhất là 32cm. Cơ thể thon dài, thon và hình trụ, miệng rộng với những chiếc răng thon nhọn lộ ra khi ngậm miệng, cơ thể có màu xám lốm đốm, có ba vạch sẫm màu dọc phía sau thân vạch lớn nhất nằm ở phía sau vây lưng, phía trên bụng có các hàng đốm đen, vây lưng, vây đuôi và vây bụng có các dãi màu sẫm.
Sinh thái: Loài cá này sống ở cát và các rạn san hô bùn, ở các thảm cỏ biển, cũng có thể được tìm thấy trên nền đáy cứng độ sâu thường là 1-12 m, thường hoạt động vào ban đêm và ăn cá nhỏ và đôi khi ăn động vật giáp xác.
Phân bố:
Thế giới: Phân bố tại khu vực Ấn Độ Dương-Thái Bình Dương: Biển Đỏ và Đông Phi đến các đảo Hawaii, Marquesan và Ducie, phía bắc đến các đảo Ryukyu và Ogasawara, phía nam đến Rạn san hô Great Barrier, Lord Howe và Rapa
Việt Nam: Ghi nhận ở các vùng biển Khánh Hòa, Phú Yên,.."
27,Cá,E.57131,Holocentridae,Sargocentron caudimaculatum,"(Rüppell, 1838)",Cá Sơn đá chấm đuôi,Đá Nam,02.04.2021,11°23'10.0,114°17'43.6,1,,,1,,1,"Cá Sơn đá chấm đuôi
Silverspot squirrelfish

Đặc điểm:
D. XI, 13-15; A. IV, 8-9;
Chiều dài lớn nhất là 25cm, thân hình bầu dục, dẹp bên, đầu to vừa, mõm ngắn. Thân có màu đỏ tươi, trên xương nắp mang có một sọc trắng nằm ngang, gai vây lưng màu đỏ tươi, các vây trong mờ, có viền đỏ, vây ngực nhỏ, vây đuôi dạng chẻ.
Sinh thái: Thường sống ở các rạn san hô, đầm phá và các rạn xa bờ có độ sâu từ 2-40m, có thể sống đơn độc hoặc theo nhóm, chúng là loài hoạt động về đêm, thức ăn chủ yếu là cua và tôm.
Phân bố:
Thế giới:  phân bố rộng khắp vùng Ấn Độ Dương - Thái Bình Dương, từ Biển Đỏ dọc theo Đông Phi, trải dài về phía đông đến quần đảo Line và Polynésie thuộc Pháp,..
Việt Nam: ghi nhận tại cù lao Chàm, đảo Lý Sơn, ngoài khơi Bình Thuận, vịnh Nha Trang, Côn Đảo, quần đảo Hoàng Sa và quần đảo Trường Sa"
28,Cá,E.57132,Labridae,Halichoeres hortulanus,"(Lacepède, 1801)",Cá Bàng Chài vân vuông,Đá Nam,02.04.2021,11°23'10.0,114°17'43.6,,,,1,,1,"Cá Bàng Chài vân vuông
Checkerboard wrasse

Đặc điểm: 
D. IX, 11; A. III, 11.
Cá Bàng chài vân vuông có chiều dài cơ thể lớn nhất được ghi nhận là 27 cm, con đực có màu xanh lục với các vảy ở giữa màu xanh đậm tạo thành hình ca-rô, đầu màu xanh lá cây với các sọc đứt quãng màu đỏ, vạch sáng rộng phía sau vây ngực, đuôi màu xanh lam và đốm màu vàng ở lưng bên dưới điểm bắt đầu của vây lưng. Con cái có các sọc đen hình chữ nhật dọc trên vảy tạo thành các đường ca rô đen trắng ở mặt trên, các vết hình chữ nhật ở phía dưới cơ thể bị thay bằng các đốm nhỏ, hai đốm màu vàng và đốm đen lớn ở lưng, đầu màu vàng với các đường màu hồng và vây lưng và vây đuôi có màu vàng. Con non có sọc đen trắng, đốm vàng quanh đầu, viền vàng ở vây lưng và đuôi màu vàng.
Sinh thái: thường gặp trên các dải cát của đầm phá san hô, vùng rạn hướng ra khơi, có độ sâu đến 30m, chúng cũng xuất hiện ở các trũng dọc sườn dốc rạn.
Phân bố: 
Thế giới: vùng biển Ấn Độ - Thái Bình Dương: nam Biển Đỏ đến vịnh Sodwana, Nam Phi, phía đông đến quần đảo Line, Marquesas và Tuamoto, phía bắc đến nam Nhật Bản, phía nam đến rạn san hô Great Barrier Reef (Úc). 
Việt Nam: vùng rạn san hô ven bờ và các đảo từ Quảng Ninh đến Kiên Giang, quần đảo Trường Sa."
