TT,Nhóm mẫu,Số hiệu,Họ,Loài,Tác giả,Tên việt,Nơi thu,Ngày thu,Long,Lat,CT,IUCN,SĐVN,KT,TP,LC/MN,Thông tin
1,Cá biển,TB.001,Acipenseridae,Acipenser sinensis,"(Grey, 1835)",Cá Tầm trung hoa,Biển Hàm Tân - Bình Thuận,01.01.1977,,,1,1,1,,1,,"Màu sắc, đặc điểm: Kích thước mẫu vật: Dài 2,9 m, Trọng lượng 200 Kg.
Sinh học, sinh thái: Cá tầm là một loài cá thuộc họ Acipenseridae, sống ở vùng ôn đới của Bắc bán cầu. Chúng không có răng, sử dụng bốn râu để tìm kiếm thức ăn ở đáy sông, đại dương. Cá tầm có tuổi thọ lên tới 100 - 200 năm và là ""hóa thạch sống"" vì ngoại hình của chúng không thay đổi từ cách đây khoảng 200 triệu năm.
Ghi chú: Năm 1977, một mẫu cá tầm đặc biệt được bắt bởi ngư dân ở biển Hàm Tân, tỉnh Bình Thuận. Khi lưới được kéo lên, ngư dân phát hiện ra hình dáng của con cá rất đặc biệt, với râu và các vảy cứng xếp lớp giống áo giáp. Con cá này được gọi là ""rồng biển"". Sau khi nhận được thông tin, các nhà khoa học của Viện Hải dương học đã xác định đó là mẫu cá tầm Trung Hoa. Tỉnh ủy và Ủy ban Nhân dân tỉnh Bình Thuận quyết định tặng con cá này cho Viện Hải dương học để phục vụ cho công tác nghiên cứu và trưng bày. Nơi trưng bày: Khu trưng bày mẫu vật lớn."
2,Chim biển,TB.002,Phalacrocoracidae,Phalacrocorax pelagicus,"(Pallas, 1811)",Chim cốc biển,Vịnh Great Peter - Nhật Bản,01.01.2005,,,,,,,,,"Màu sắc, đặc điểm: Chim cốc biển còn được gọi là chim cốc Pelagic hoặc chim cốc bồ nông. Loài chim cốc này có kích thước nhỏ hơn các loài chim cốc khác. Chúng có chiều dài khoảng 64 - 89 cm với chiều dài sải cánh khoảng 1 mét, có trọng lượng cơ thể từ 1,4 đến 2,4kg khi trưởng thành hoàn toàn. Chim cốc bồ nông có bộ lông màu đen bóng, mỏ cong sẫm màu và cổ dài, mảnh. Khi bay phần cổ của chúng được giữ thẳng.
Ghi chú: Mẫu vật được thu tại Vịnh Great Peter - Biển Nhật Bản do tàu nghiên cứu c Oparin (CHLB Nga) tặng cho Bảo tàng Hải dương học vào tháng 01/2005. Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
3,Chim biển,TB.003,Alcidae,Uria aalge,"(Pontoppidan, 1763)",Chim Uria,Vịnh Great Peter - Nhật Bản,01.01.2005,,,,,,,,,"Sinh học, sinh thái: Chim Uria là loài chim trong họ Alcidae. Loài này phân bố xung quanh vòng cực và dành phần lớn thời gian ở biển, chỉ vào bờ để sinh sản ở vách đá hay bãi đá trên các đảo. Chúng có thể lặn sâu từ 30–60 m, có trường hợp lặn sâu đến 100m đã được ghi nhận. Thức ăn chủ yếu là cá, động vật giáp xác, ốc.
Ghi chú: Mẫu vật được thu tại Vịnh Great Peter - Biển Nhật Bản do tàu nghiên cứu nghiên cứu Viện sĩ Oparin (Nga) tặng cho Bảo tàng Hải dương học vào tháng 01/2005. Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
4,San hô,TB.004,Dendrophylliidae,Turbinaria peltata,"(Esper, 1790)",San hô cứng dạng phễu,,,,,1,,,,,,"Sinh học, sinh thái: San hô cứng dạng phễu có hình dạng đẹp, hấp dẫn và thường có màu sắc sặc sỡ. Chúng có các Polyp lớn, có nhiều xúc tu nổi lên vào ban ngày để kiếm ăn. Đây là loài san hô có phạm vi phân bố rộng, có thể gặp ở các hệ thống rạn san hô nhiệt đới nông ở vùng biển Ấn Độ Dương, Tây và Trung Thái Bình Dương và Biển Đông. San hô cứng dạng phễu có tầm quan trọng về mặt sinh thái trong quá trình xây dựng hay phục hồi các rạn san hô, chúng xuất hiện trên các bãi cát cạn, có độ sâu từ 9-20m. Loài san hô này cung cấp một tỷ lệ sinh vật đáy đáng kể phủ trên bề mặt của nó trong các sinh cảnh rạn san hô. Các tấm chồng chéo, xoắn lớn của chúng là nơi ẩn náu cho các loài động vật sống trong rạn san hô như cá và động vật có xương sống.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên biển đảo Hoàng Sa – Trường Sa"
5,Cá dữ,TB.005,,,,Hàm cá mập,Nha Trang - Khánh Hòa,01.01.2015,,,,,,,,,"Màu sắc, đặc điểm: Bề mặt của răng cá mập chứa florua, thành phần cơ bản trong các loại kem đánh răng và nước súc miệng của chúng ta giúp chúng ít bị các vấn đề về răng miệng. Hàm cá mập có răng mọc tua tủa thành những hàng đều đặn và ngả về phía sau giúp cho cá mập giữ chặt con mồi. Tất nhiên, các hàm răng phía trước phải làm việc nhiều hơn và mau mòn hơn. Khi những chiếc răng phía trước già cỗi và bị mòn, chúng dần thò ra phía ngoài miệng và bị rụng đi. Thế chỗ cho chúng là những hàng răng tiếp theo. Và cứ tuần tự như thế suốt đời.
Ghi chú: Mẫu vật được thu lại từ ngư dân ở cảng Nha Trang năm 2015. Ngư dân trong quá trình đánh bắt đã thu được các cá thể cá mập và thông thường họ sẽ loại bỏ các phần không có giá trị trên cơ thể cá, chỉ giữ lại những bộ phận như vi, đầu cá. Bảo tàng Hải dương học đã liên hệ và giữ lại được bộ hàm răng của các cá thể cá mập nói trên. Do chỉ còn lại 1 phần nên công tác định loại gặp nhiều khó khăn. Nơi trưng bày: Khu trưng bày tài nguyên biển đảo Hoàng Sa – Trường Sa."
6,Thú biển,TB.006,Dugongidae,Dugong dugon,"(Lacépède, 1799)",Bò biển,Phú Quốc - Kiên Giang,23.12.2002,,,1,1,1,,,,"Màu sắc, đặc điểm: Kích thước mẫu vật: Dài 2,75 m, Trọng lượng 400 Kg.
Ghi chú: Vào ngày 23/12/2002, một con bò biển nặng khoảng 400kg và dài 2,75m đã chết sau khi bị vướng vào lưới đánh cá của ngư dân ở vùng biển Phú Quốc, tỉnh Kiên Giang. Sau đó, Chi cục Bảo vệ nguồn lợi thủy sản của tỉnh đã chuyển mẫu vật này đến Viện Hải dương học để tiến hành nghiên cứu và trưng bày. Sau khi được xử lý và bảo quản trong formalin khoảng một năm, mẫu vật được chuyển đến một bể kính để lưu trữ và trưng bày. Đây là mẫu vật bò biển còn nguyên vẹn đầu tiên được trưng bày tại Việt Nam. Bò biển (Dugong dugon) là loài động vật biển ăn cỏ có thể dài hơn 3 mét và nặng gần 1 tấn khi trưởng thành, phân bố chủ yếu ở các vùng ven biển cận nhiệt đới và bán nhiệt đới từ Ấn Độ Dương đến Thái Bình Dương. Tuy nhiên, hiện nay loài bò biển chỉ còn sống tại Côn Đảo và Phú Quốc do di chuyển chậm chạp và thân hình to lớn, khiến chúng dễ bị mắc vào lưới đánh cá của ngư dân. Ngoài ra, tình trạng đánh bắt quá mức, ô nhiễm môi trường và biến đổi khí hậu cũng đang khiến cho số lượng bò biển suy giảm nghiêm trọng. Điều này đặt loài động vật này vào tình trạng nguy cơ tuyệt chủng và cần sự hợp tác bảo vệ của con người. Nơi trưng bày: Khu trưng bày mẫu vật lớn"
7,Cá biển,TB.007,Serranidae,Epinephelus malabaricus,"(Bloch & Schneider, 1801)",Bộ xương cá Mú điểm gai,Khánh Hòa,,,,,,,,,,"Sinh học, sinh thái: Cá Mú điểm gai ăn tạp và thường có thói quen đi kiếm ăn một mình. Thức ăn chủ yếu là động vật và các sinh vật sống trong môi trường biển như cá phèn, cá sơn, cá thia, động vật giáp xác… Tại Việt Nam, giống cá này phân bố rộng rãi từ khu vực vịnh Bắc bộ cho tới vịnh Thái Lan, nhiều nhất vẫn là vùng biển thuộc Bắc bộ và Trung bộ. Cá Mú là một trong những dòng cá sinh sản theo hình thức lưỡng tính đơn tính. Chúng mang giới tính cái khi còn nhỏ và có thể thay đổi giới tính khi trưởng thành. Sự thành thục về giới tính ở con đực chỉ xảy ra khi cơ thể chúng đạt chiều dài 114 cm. Đến mùa sinh sản, một cá thể đực có thể giao phối cùng hàng chục cá thể cái. Mùa sinh sản của cá Mú được quyết định rất nhiều bởi vị trí địa lý. Ở một số nước châu Á, chu kỳ sinh sản của cá Mú bắt đầu từ tháng ba cho đến hết tháng mười hàng năm.
Ghi chú: Mẫu được thu tại tỉnh Bình Định, sau đó đem xử lý hóa chất để loại bỏ da thịt và nội tạng. Các mẫu xương sẽ được tẩy và kiểm tra tỉ mỉ nhằm loại bỏ hết tủy xương để tránh làm xương bị đen sau khi chế tác. Khi mẫu xương đã khô, các chuyên gia tiến hành dựng cốt và ghép các mẫu xương lại với nhau dựa trên cấu tạo của loài bằng khung kim loại và các loại keo chuyên dụng, tạo thành một khung xương hoàn chỉnh 100% giống với cấu trúc xương của loài cá Mú này. Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
8,San hô,TB.008,Antipathidae,Anthipathes sp,"(Pallas, 1766)",San hô sừng gai,,,,,1,1,1,1,,,"Sinh học, sinh thái: San hô sừng gai, san hô đen là một bộ san hô mềm phân bố ở vùng nước sâu. Những loài san hô thuộc bộ này có thể được nhận biết bởi bộ xương kitin màu đen tuyền hoặc nâu sẫm, được bao quanh bởi các polyp. San hô đen phân bố trên toàn cầu, sinh sống ở nhiều tầng nư, ngoại trừ vùng nước lợ. Tuy nhiên, chúng được tìm thấy nhiều nhất trên các rìa lục địa sâu dưới 50 m. San hô đen sinh sản bằng hai hình thức hữu tính và vô tính trong suốt cuộc đời. Nhiều loài san hô đen là nơi trú ẩn, thức ăn và là nơi bảo vệ các loài động vật khác.
Phân bố: Trong lịch sử, san hô đen đã được người dân các đảo trên Thái Bình Dương sử dụng để chữa bệnh và xuất hiện trong các nghi lễ. Hiện nay, số lượng san hô đen ngày càng suy giảm. Điều này được cho là ​​sẽ vẫn còn tiếp diễn do ảnh hưởng của nạn săn trộm, axit hóa đại dương và biến đổi khí hậu. Mặc dù san hô đen không được liệt kê trong Sách đỏ của IUCN nhưng ngày nay vẫn có một số yếu tố đe dọa chúng. Mối đe dọa lớn nhất là nạn săn trộm - mặc dù phần lớn nghề đánh bắt san hô đen được quản lý chặt chẽ nhưng vẫn còn tồn tại các thị trường chợ đen cho san hô. Đặc biệt trên các đảo nhiệt đới và Madagascar, thị trường san hô đen bị khai thác trái phép rất lớn. Do đánh bắt quá mức san hô trưởng thành, ở một số khu vực, gần 90% lượng san hô vẫn còn non (cao dưới 50 cm).
Ghi chú: San hô đen ban đầu được phân loại trong lớp phụ Ceriantipatharia cùng với ceriantharia (hải quỳ sống trong ống), nhưng sau đó được phân loại lại theo lớp Hexacorallia. Không giống như đại đa số các loài san hô khác, san hô đen không có khả năng bảo vệ cơ thể khỏi các vật liệu mài mòn như cát và đá. Những yếu tố này có thể dẫn đến việc các chất cặn làm rách mô mềm, làm chết san hô. Nơi trưng bày: Khu trưng bày tài nguyên biển đảo Hoàng Sa – Trường Sa"
9,Cá biển,TB.009,Molidae,Masturus lanceolatus,"(Liénard, 1840)",Cá Mặt Trăng đuôi nhọn,Trường Sa - Khánh Hòa,28.04.1998,,,,,1,1,1,,"Phân bố: Loài cá Mặt trăng đuôi nhọn này có cơ thể hình bầu dục, dẹp hai bên, miệng rất nhỏ. Vây lưng và vây hậu môn ngắn nhưng cao gần như đối xứng nhau. Vây ngực nhỏ dạng hình tròn. Vây đuôi thấp nhưng dài, bao quanh cả phía sau thân, nối liền với vây lưng và vây hậu môn. Răng trên hàm gắn kết với nhau thành tấm răng lớn. Mắt và khe mang nhỏ. Da thô, mỏng, không phủ vảy. Chúng là loài cá nổi ở đại dương, ít khi vào gần bờ. Khi thời tiết ấm áp, chúng di chuyển đến vùng ôn đới phía bắc và phía nam xích đạo. Những ngày đẹp trời ít sóng gió, chúng thường nổi lên để hở một phần thân và vây lưng khỏi mặt nước để bắt động vật phù du. Khi có mưa to gió lớn hoặc lúc đuổi mồi, chúng lật ngang thân trong nước, dùng vây lưng và vây hậu môn bơi rất nhanh. Cá Mặ trăng đuôi nhọn có kích thước khá lớn, chiều dài thân có thể đạt tới 2, 5 - 3m (Gudger, 1937) Ở Việt Nam loài cá Mặt trăng này phân bố chủ yếu ở Vịnh Bắc Bộ, Trung Bộ. Tuy nhiên cũng chỉ một vài lần gặp chúng, dự đoán số lượng quần thể chỉ khoảng dưới 250 cá thể trưởng thành. Vì thế, chúng đã được đưa vào Sách Đỏ Việt Nam. Khuyến nghị cần thông báo cho nhân dân các tỉnh ven biển cấm đánh bắt loài này khi phát hiện được chúng (chúng thường nổi lên mặt nước). Cá Mặt trăng còn phân bố ở một số quốc gia trên thế giới như Nhật Bản, Trung Quốc, Philippin, Indonesia, Malaixia, Thái Lan, Australlia, Xri Lanka, Ấn Độ.
Ghi chú: Mẫu cá Mặt trăng này do tàu KH - 401G của Xí nghiệp Khai thác và Dich vụ Thủy sản Khánh Hòa đánh bắt được ở Trường Sa vào ngày 28/04/1998 bằng “vàng câu cá ngừ đại dương”. Mẫu được bảo quản khô bằng phương pháp nhồi bông truyền thống. Nơi trưng bày: Khu trưng bày đa dạng sinh học biển"
10,Cá biển,TB.010,Pristidae,Pristiformes,,Đao của cá đao,,01.01.1975,,,,,,,,,"Sinh học, sinh thái: Cá đao có họ hàng với cá mập và cá đuối. Kích thước đã từng ghi nhận được cho thấy loài cá này dài từ 5 đến 7 mét và thường nặng khoảng 500 đến 600kg. Chúng có tuổi thọ cao, phát triển chậm, trưởng thành muộn và có khả năng sinh sản thấp.
Phân bố: Đây là một bộ cá dạng cá đuối với đặc trưng là một mũi sụn dài ra ở mõm. Chúng có chiều dài khoảng 7 mét với những chiếc “cưa” vừa là vũ khí vừa là cơ quan cảm giác giúp chúng cảm nhận được con mồi. Cá đao có thể trở nên cực kỳ nguy hiểm nếu bị khiêu khích. Cá đao phân bố ở vùng nước nông và lầy lội, có thể được tìm thấy trong cả khu vực nước ngọt và nước mặn. Tất cả các loài cá đao có khả năng di chuyển qua lại giữa khu vực nước ngọt và nước mặn.
Ghi chú: Mẫu Đao của cá Đao này chính là phần mõm của chúng. Mẫu vật này được bảo tàng lưu trữ từ trước năm 1975 đến nay. Nơi trưng bày: Khu trưng bày đa dạng sinh học biển."
