Số thứ tự,Tên họ,Tên loài,Tác giả,Tên Tiếng Anh,Tên Việt,Nơi thu,Ngày thu,Số hiệu,Thông tin loài,Hình ảnh của loài,Hình ảnh mẫu
221,HYDROPHIIDAE,Aipysurus eydouxii         ,"(Gray, 1849)",Spine-tailed sea snake,Đẻn biển đuôi gai,Cảng cá Tắc Cậu - Kiên Giang,2015,E 55498,"Hiện trạng bảo tồn:
CITES (2013): Không.
Nghị định số 160/2013/ND-CP: Không.
Danh lục đỏ IUCN (2015.4): Ít liên quan.
Sách đỏ Việt Nam (2007): Sẽ nguy cấp.
Đặc điểm nhận dạng: Xương hàm trên kéo dài qua xương vòm miệng; vảy bụng lớn, ít nhất lớn gấp 3 lần vảy bên thân. Hàng vảy quanh cổ 15–17; hàng vảy quanh thân 17; vảy bụng 124–149; răng xương hàm trên phía sau răng nanh độc 7–12 và rất nhỏ.
Màu sắc: cơ thể có màu hơi nâu hoặc xanh ô-liu ở phần lưng và nhạt hơn ở phần bụng, các khoanh có màu vàng hoặc nâu nhạt không theo quy luật, chúng mở rộng hai bên sườn và kết thúc ở phần vảy bụng; vảy ở trong các khoanh thường có mép đen.
Phân bố chung: Biển Tây Malaysia, vịnh Thái Lan, Indonesia và vùng biển Úc (David &Ineich, 1999).
Phân bố ở Việt Nam: Mũi Kê Gà tỉnh Bình Thuận (Sáng & Cúc, 1996; Kharin, 2006), cảng cá Long Hải tỉnh Bà Rịa-Vũng Tàu, cảng cá Sông Đốc tỉnh Cà Mau, cảng cá Tắc Cậu tỉnh Kiên Giang (Cao và cs., 2014).
Môi trường sống: Biển trên nền đáy bùn, cũng ở sông và cửa sông (Heatwole &Lukoschek, 2008).
Thức ăn: Chủ yếu là trứng cá, lươn (Voris, 1972).
Sinh sản: Trứng thai- đẻ con.
Độc tố học: Độc tố thần kinh (Li và cs., 2005).
Giá trị sử dụng: Thực phẩm, thuốc truyền thống.
Tình trạng: Thường được tìm thấy ở cảng cá Sông Đốc tỉnh Cà Mau, cảng cá Tắc Cậu tỉnh
Kiên Giang.
Ghi chú: Đề nghị đánh giá lại dữ liệu sách đỏ Việt Nam. Mẫu từ Việt Nam được lưu giữ tại Viện Hải dương học, thành phố Nha Trang, năm 2013-2015.",,Có ảnh
281,HYDROPHIIDAE,Aipysurus eydouxii         ,"(Gray, 1849)",Spine-tailed sea snake,Đẻn biển đuôi gai,Indochine,,E 55536,"Hiện trạng bảo tồn:
CITES (2013): Không.
Nghị định số 160/2013/ND-CP: Không.
Danh lục đỏ IUCN (2015.4): Ít liên quan.
Sách đỏ Việt Nam (2007): Sẽ nguy cấp.
Đặc điểm nhận dạng: Xương hàm trên kéo dài qua xương vòm miệng; vảy bụng lớn, ít nhất lớn gấp 3 lần vảy bên thân. Hàng vảy quanh cổ 15–17; hàng vảy quanh thân 17; vảy bụng 124–149; răng xương hàm trên phía sau răng nanh độc 7–12 và rất nhỏ.
Màu sắc: cơ thể có màu hơi nâu hoặc xanh ô-liu ở phần lưng và nhạt hơn ở phần bụng, các khoanh có màu vàng hoặc nâu nhạt không theo quy luật, chúng mở rộng hai bên sườn và kết thúc ở phần vảy bụng; vảy ở trong các khoanh thường có mép đen.
Phân bố chung: Biển Tây Malaysia, vịnh Thái Lan, Indonesia và vùng biển Úc (David &Ineich, 1999).
Phân bố ở Việt Nam: Mũi Kê Gà tỉnh Bình Thuận (Sáng & Cúc, 1996; Kharin, 2006), cảng cá Long Hải tỉnh Bà Rịa-Vũng Tàu, cảng cá Sông Đốc tỉnh Cà Mau, cảng cá Tắc Cậu tỉnh Kiên Giang (Cao và cs., 2014).
Môi trường sống: Biển trên nền đáy bùn, cũng ở sông và cửa sông (Heatwole &Lukoschek, 2008).
Thức ăn: Chủ yếu là trứng cá, lươn (Voris, 1972).
Sinh sản: Trứng thai- đẻ con.
Độc tố học: Độc tố thần kinh (Li và cs., 2005).
Giá trị sử dụng: Thực phẩm, thuốc truyền thống.
Tình trạng: Thường được tìm thấy ở cảng cá Sông Đốc tỉnh Cà Mau, cảng cá Tắc Cậu tỉnh
Kiên Giang.
Ghi chú: Đề nghị đánh giá lại dữ liệu sách đỏ Việt Nam. Mẫu từ Việt Nam được lưu giữ tại Viện Hải dương học, thành phố Nha Trang, năm 2013-2015.",,
,HYDROPHIIDAE,Hydrophis annandelei        ,"(Laidlaw, 1901)",Bighead sea snake,"Đẻn vảy đầu phân, đẻn đầu to",Phan Thiết,,E 55523,"Hiện trạng bảo tồn:
CITES (2013): Không.
Nghị định số 160/2013/ND-CP: Không.
Danh lục đỏ IUCN (2015.2): Thiếu dữ liệu.
Sách đỏ Việt Nam (2007): Không.
Đặc điểm nhận dạng: Tấm vảy đầu bị phân mảnh không theo quy luật (cái lớn, cái nhỏ). Đầu lớn, thân chắc khỏe, được phủ với các vảy nhỏ không theo quy luật. Hàng vảy quanh cổ (62–82) và hàng vảy quanh thân (74–93); vảy bụng 320–368, răng của xương hàm trên phía sau răng nanh độc 6–7.
Màu sắc: Thân hơi vàng, các khoanh nhạt ở phần trên lưng, chiều rộng của các khoanh lớn hơn khoảng cách giữa hai khoanh, hẹp về phía hai bên sườn.
Phân bố chung: Singapore, Vịnh Thái Lan, biển Nam Trung Quốc, Borneo và Java (Das,1993; David & Ineich, 1999).
Phân bố ở Việt Nam: Ở cảng cá Cồn Chà tỉnh Bình Thuận (Dương, 1978; Sáng & Cúc, 1996; Sáng và cs, 2009; Kharin, 2006).
Môi trường sống: Thường sống ở vùng biển nông ven bờ, có đáy bùn (Smith 1926, Rasmussen và cs., 2001); loài này cũng ghi nhận trong hồ nước ngọt ở Pattani Thái Lan (Boulenger, 1912).
Thức ăn: Ít được biết.
Sinh sản: Trứng thai.
Độc tố học: Độc tố thần kinh.
Giá trị sử dụng: Thực phẩm, thuốc truyền thống và kỹ nghệ da.
Tình trạng: Ít gặp ở vùng biển Việt Nam.
Ghi chú: Sẽ nguy cấp (VU). Trong 15 năm qua không thu được mẫu ở Việt Nam. Mẫu từ Việt Nam đang lưu giữ tại Viện Hải dương học, thành phố Nha Trang, trong năm 1936.",,
283,HYDROPHIIDAE,Hydrophis atriceps.             ,"(Günther, 1864)",Black-headed banded sea snake,"Đẻn cạp nong
Đẻn Đầu đen
(tên cập nhật)",Cảng Sông Đốc - Cà Mau,2012,E 55492,"Hiện trạng bảo tồn:
CITES (2013): Không.
Nghị định số 160/2013/ND-CP: Không.
Danh lục đỏ IUCN (2015.4): Ít liên quan.
Sách đỏ Việt Nam (2007): Không.
Đặc điểm nhận dạng: Đầu nhỏ. Thân dài và mảnh ở phần trước. Hơn 31 hàng vảy quanh giữa đuôi. Hàng vảy quanh cổ 25–30; hàng vảy quanh thân 39–49; vảy bụng 320–455; răng xương hàm trên phía sau răng nanh độc 5–6.
Màu sắc: Đầu đen hoặc đen sẫm. Phần trước thân đen hoặc đen sẫm có những vết hình ô van vàng nhạt hai bên sườn hoặc các vệt này kết hợp lại thành khoanh, phần sau thân hơi trắng xám ở phía lưng, phía bụng hơi trắng, có nhiều khoanh đen sẫm kéo dài ra hai
bên sườn tạo thành một khoanh hoàn chỉnh.
Phân bố chung: Singapore, vịnh Thái Lan, Trung Quốc, Philippin, Indonesia và vùng biển Arafura (Smith, 1926; David & Ineich, 1999).
Phân bố ở Việt nam: Tìm thấy ở Vịnh Bắc Bộ (Shuntov, 1962, Kiên & Thắng, 1995; Sáng &Cúc 1996), cảng cá Cồn Chà tỉnh Bình Thuận, cảng cá Long Hải tỉnh Bà Rịa-Vũng Tàu (Sáng và cs, 2009, Cao và cs, 2014), cảng cá Sông Đốc tỉnh Cà Mau (Cao và cs, 2014).
Môi trường sống: Dọc bờ biển và vùng cửa sông (Karthikeyan & Balasubramaniant,2007).
Thức ăn: Chủ yếu là cá (Karthikeyan & Balasubramaniant, 2007).
Sinh sản: Trứng thái-đẻ con, mỗi lứa từ 4-8 con (Karthikeyan & Balasubramaniant, 2007).
Độc tố học: Độc tố thần kinh.
Giá trị sử dụng: Thực phẩm và thuốc truyền thống.
Tình trạng: Thỉnh thoảng gặp ở vùng biển Việt Nam.
Ghi chú: Loài H. atriceps được xem như loài phụ của H. fasciatus, hiện nay các tác giã công nhận H. atriceps là loài chính thức (Cogger và cs., 1983). Mẫu từ vùng biển Việt Nam đang lưu giữ tại Viện Hải dương học, thành phố Nha Trang, năm 2011-2013.",,
222,HYDROPHIIDAE,Hydrophis atriceps.             ,"(Günther, 1864)",Black-headed banded sea snake,"Đẻn cạp nong
Đẻn Đầu đen
(tên cập nhật)",Cảng Sông Đốc - Cà Mau,2012,E 55494,"Hiện trạng bảo tồn:
CITES (2013): Không.
Nghị định số 160/2013/ND-CP: Không.
Danh lục đỏ IUCN (2015.4): Ít liên quan.
Sách đỏ Việt Nam (2007): Không.
Đặc điểm nhận dạng: Đầu nhỏ. Thân dài và mảnh ở phần trước. Hơn 31 hàng vảy quanh giữa đuôi. Hàng vảy quanh cổ 25–30; hàng vảy quanh thân 39–49; vảy bụng 320–455; răng xương hàm trên phía sau răng nanh độc 5–6.
Màu sắc: Đầu đen hoặc đen sẫm. Phần trước thân đen hoặc đen sẫm có những vết hình ô van vàng nhạt hai bên sườn hoặc các vệt này kết hợp lại thành khoanh, phần sau thân hơi trắng xám ở phía lưng, phía bụng hơi trắng, có nhiều khoanh đen sẫm kéo dài ra hai
bên sườn tạo thành một khoanh hoàn chỉnh.
Phân bố chung: Singapore, vịnh Thái Lan, Trung Quốc, Philippin, Indonesia và vùng biển Arafura (Smith, 1926; David & Ineich, 1999).
Phân bố ở Việt nam: Tìm thấy ở Vịnh Bắc Bộ (Shuntov, 1962, Kiên & Thắng, 1995; Sáng &Cúc 1996), cảng cá Cồn Chà tỉnh Bình Thuận, cảng cá Long Hải tỉnh Bà Rịa-Vũng Tàu (Sáng và cs, 2009, Cao và cs, 2014), cảng cá Sông Đốc tỉnh Cà Mau (Cao và cs, 2014).
Môi trường sống: Dọc bờ biển và vùng cửa sông (Karthikeyan & Balasubramaniant,2007).
Thức ăn: Chủ yếu là cá (Karthikeyan & Balasubramaniant, 2007).
Sinh sản: Trứng thái-đẻ con, mỗi lứa từ 4-8 con (Karthikeyan & Balasubramaniant, 2007).
Độc tố học: Độc tố thần kinh.
Giá trị sử dụng: Thực phẩm và thuốc truyền thống.
Tình trạng: Thỉnh thoảng gặp ở vùng biển Việt Nam.
Ghi chú: Loài H. atriceps được xem như loài phụ của H. fasciatus, hiện nay các tác giã công nhận H. atriceps là loài chính thức (Cogger và cs., 1983). Mẫu từ vùng biển Việt Nam đang lưu giữ tại Viện Hải dương học, thành phố Nha Trang, năm 2011-2013.",,Có ảnh
284,HYDROPHIIDAE,Hydrophis brooki   ,"(Günther, 1872)",Brooke's sea snake,"Rắn biển brooki
Đẻn Brooke (tên cập nhật)",,,E 55508,"Hiện trạng bảo tồn:
CITES (2013): Không
Nghị định số 160/2013/ND-CP: Không.
Red List Category & Criteria (IUCN- 2015.4): Ít liên quan.
Sách đỏ Việt Nam (2007): Không.
Đặc điểm nhận dạng: Đầu nhỏ, thân dài và mảnh ở phần trước. Hàng vảy quanh cổ 25–31; hàng vảy quanh thân 37– 45; vảy bụng 328 – 414; răng của xương hàm trên sau răng nanh độc 4 – 5.
Màu sắc: Đầu hơi đen, có vệt màu vàng hình móng ngựa ở hai bên đầu; thân màu hơi trắng xanh có từ 60 - 80 khoanh đen hoặc đen sẫm. Khoanh ở phần trước thì bao quanh thân, nhưng phía sau các khoanh này hẹp dần về phía hai bên và có thể không bao hoàn
toàn ở phía bụng.
Phân bố chung: Bán đảo In Đô - Mả Lai, biển Nam Trung Quốc và phía Bắc của bờ biển Borneo và Java (David & Ineich, 1999).
Phân bố ở Việt Nam: Tìm thấy ở mũi Kê Gà, cảng cá Cồn Chà tỉnh Bình Thuận (Kiên &Thắng, 1995; Sáng & Cúc, 1996; Kharin, 2006).
Môi trường sống: Ít được biết về sinh thái của loài này.
Thức ăn: Chủ yếu là lươn (Voris &Voris, 1983).
Sinh sản: Trứng thái- đẻ con.
Độc tố học: Độc tố thần kinh.
Sử dụng và thương mại: Thực phẩm, thuốc tuyền thống và kỹ nghệ da.
Tình trạng: Ít gặp ở vùng biển Việt Nam.
Ghi chú: Sẽ bị tổn thương, trong 15 năm qua không thu được mẫu ở vùng biển Việt Nam. Mẫu lưu ở Viện động vật - Viện Hàn lâm khoa học Nga (Dotsenko, 1999; Kharin, 2006).",,
285,HYDROPHIIDAE,Hydrophis brooki   ,"(Günther, 1872)",Brooke's sea snake,"Rắn biển brooki
Đẻn Brooke (tên cập nhật)",Kê Gà - Phan Thiết,,E 55544,"Hiện trạng bảo tồn:
CITES (2013): Không
Nghị định số 160/2013/ND-CP: Không.
Red List Category & Criteria (IUCN- 2015.4): Ít liên quan.
Sách đỏ Việt Nam (2007): Không.
Đặc điểm nhận dạng: Đầu nhỏ, thân dài và mảnh ở phần trước. Hàng vảy quanh cổ 25–31; hàng vảy quanh thân 37– 45; vảy bụng 328 – 414; răng của xương hàm trên sau răng nanh độc 4 – 5.
Màu sắc: Đầu hơi đen, có vệt màu vàng hình móng ngựa ở hai bên đầu; thân màu hơi trắng xanh có từ 60 - 80 khoanh đen hoặc đen sẫm. Khoanh ở phần trước thì bao quanh thân, nhưng phía sau các khoanh này hẹp dần về phía hai bên và có thể không bao hoàn
toàn ở phía bụng.
Phân bố chung: Bán đảo In Đô - Mả Lai, biển Nam Trung Quốc và phía Bắc của bờ biển Borneo và Java (David & Ineich, 1999).
Phân bố ở Việt Nam: Tìm thấy ở mũi Kê Gà, cảng cá Cồn Chà tỉnh Bình Thuận (Kiên &Thắng, 1995; Sáng & Cúc, 1996; Kharin, 2006).
Môi trường sống: Ít được biết về sinh thái của loài này.
Thức ăn: Chủ yếu là lươn (Voris &Voris, 1983).
Sinh sản: Trứng thái- đẻ con.
Độc tố học: Độc tố thần kinh.
Sử dụng và thương mại: Thực phẩm, thuốc tuyền thống và kỹ nghệ da.
Tình trạng: Ít gặp ở vùng biển Việt Nam.
Ghi chú: Sẽ bị tổn thương, trong 15 năm qua không thu được mẫu ở vùng biển Việt Nam. Mẫu lưu ở Viện động vật - Viện Hàn lâm khoa học Nga (Dotsenko, 1999; Kharin, 2006).",,Có ảnh
286,HYDROPHIIDAE,Hydrophis curtus        ,"(Shaw, 1802)",Short sea snake,"Đẻn cơm, đẻn cá",Cảng Sông Đốc - Cà Mau,2012,E 55490,"Hiện trạng bảo tồn:
CITES (2013): Không.
Nghị định số 160/2013/ND-CP: Không.
Danh lục đỏ IUCN (2015.4): Ít liên quan.
Sách đỏ Việt Nam (2007): Không.
Đặc điểm nhận dạng: Có 3 hoặc 4 hàng vảy bên lớn hơn các vảy khác. Hàng vảy quanh cổ 23–35; hàng vảy quanh thân 25–43. Vảy bụng 114–230, nhỏ và thường có xẻ rãnh ở giữa, ở phần sau nhỏ hơn phần trước; răng của xương hàm trên sau nanh độc 3–6.
Màu sắc: Có một vết vàng đi qua mõm, thân hơi xanh hoặc vàng ở phần lưng, hơi trắng ở phần bụng, các khoanh có màu hơi xanh sẫm đến đen và thỉnh thoảng các khoanh này nối lại với nhau theo chiều dọc ở phần lưng, do đó lưng có màu xanh sẫm hoặc đen. Tuy nhiên, một vài mẫu cho thấy các khoanh nối lại với nhau theo chiều ngang ở bụng, tạo thành khoanh tròn quanh thân.
Phân bố trên thế giới: Từ vịnh Ả Rập đến Nhật Bản, Philippin, Indonesia, và vùng biển Úc (David & Ineich, 1999; Rasmussen & Ineich, 2000).
Phân bố ở Việt Nam: Vịnh Bắc Bộ (Shuntov, 1962; Dương, 1978), cảng cá Cồn Chà tỉnh Bình Thuận, cảng cá Long Hải tỉnh Bà Rịa-Vũng Tàu (Kharin, 2006; Rasmussen và cs, 2011), cảng cá Sông Đốc tỉnh Cà Mau, cả cá Tắc Cậu tỉnh Kiên Giang (Cao và cs., 2014).
Môi trường sống: Bao gồm vũng vịnh và cửa sông, và cũng trên lớp trầm tích đáy mềm gần rạn san hô (Heatwole, 1975; Dunson, 1975); loài này cũng xuất hiện ở vùng biển khơi và nổi lên mặt nước như quả bóng.
Thức ăn: Gồm nhiều loài cá, cũng như mực ống và các loài giáp xác khác (Glodek và Voris, 1982; Fry và cs., 2001; Lobo và cs,2005).
Sinh sản: Ở Úc, đã tìm thấy con cái đang mang trứng ở giữa mùa mưa (tháng 1 đến tháng 3) và giữa mùa khô (tháng 8) hoặc cuối mùa khô (tháng 10 đến tháng 12) (Fry và cs., 2001); ở Indonesia, con cái mang trứng trong ống dẫn trứng giữa mùa khô (tháng 6 đến tháng 8) và phôi đã phát triển đến giai đoạn cuối bắt đầu mùa mưa (tháng 12 năm trước đến tháng 1 năm sau) (Bergman, 1949); ở Ấn Độ con cái mang phôi thai xuất hiện ở đầu mùa mưa tháng 6 đến tháng 7 (Karthikeyan & Balasubramanian, 2007); ở Việt Nam loài này ghi nhận có từ 3-4 con trong một lứa đẻ từ tháng 10 đến tháng 11.
Độc tố học: Độc tố thần kinh. Liều gây chết ở chuột LD50 là 0.62 mg/kg (Bergman, 1949).
Sử dụng và thương mại: Thực phẩm, thuốc truyền thống và kỹ nghệ da.
Tình trạng: Thường gặp trong các vùng biển Việt Nam.
Ghi chú: Một trong những loài rắn biển thường được đánh bắt cùng với loài Hydrophis cyanocinctus ở các tàu giã cào trong vùng Châu Á. Mẫu đang lưu giữ tại Viện Hải dương học, thành phố Nha Trang, năm 2001 - 2013.",,
297,HYDROPHIIDAE,Hydrophis curtus        ,"(Shaw, 1802)",Short sea snake,"Đẻn cơm, đẻn cá",Cảng Sông Đốc - Cà Mau,2012,E 55493,"Hiện trạng bảo tồn:
CITES (2013): Không.
Nghị định số 160/2013/ND-CP: Không.
Danh lục đỏ IUCN (2015.4): Ít liên quan.
Sách đỏ Việt Nam (2007): Không.
Đặc điểm nhận dạng: Có 3 hoặc 4 hàng vảy bên lớn hơn các vảy khác. Hàng vảy quanh cổ 23–35; hàng vảy quanh thân 25–43. Vảy bụng 114–230, nhỏ và thường có xẻ rãnh ở giữa, ở phần sau nhỏ hơn phần trước; răng của xương hàm trên sau nanh độc 3–6.
Màu sắc: Có một vết vàng đi qua mõm, thân hơi xanh hoặc vàng ở phần lưng, hơi trắng ở phần bụng, các khoanh có màu hơi xanh sẫm đến đen và thỉnh thoảng các khoanh này nối lại với nhau theo chiều dọc ở phần lưng, do đó lưng có màu xanh sẫm hoặc đen. Tuy nhiên, một vài mẫu cho thấy các khoanh nối lại với nhau theo chiều ngang ở bụng, tạo thành khoanh tròn quanh thân.
Phân bố trên thế giới: Từ vịnh Ả Rập đến Nhật Bản, Philippin, Indonesia, và vùng biển Úc (David & Ineich, 1999; Rasmussen & Ineich, 2000).
Phân bố ở Việt Nam: Vịnh Bắc Bộ (Shuntov, 1962; Dương, 1978), cảng cá Cồn Chà tỉnh Bình Thuận, cảng cá Long Hải tỉnh Bà Rịa-Vũng Tàu (Kharin, 2006; Rasmussen và cs, 2011), cảng cá Sông Đốc tỉnh Cà Mau, cả cá Tắc Cậu tỉnh Kiên Giang (Cao và cs., 2014).
Môi trường sống: Bao gồm vũng vịnh và cửa sông, và cũng trên lớp trầm tích đáy mềm gần rạn san hô (Heatwole, 1975; Dunson, 1975); loài này cũng xuất hiện ở vùng biển khơi và nổi lên mặt nước như quả bóng.
Thức ăn: Gồm nhiều loài cá, cũng như mực ống và các loài giáp xác khác (Glodek và Voris, 1982; Fry và cs., 2001; Lobo và cs,2005).
Sinh sản: Ở Úc, đã tìm thấy con cái đang mang trứng ở giữa mùa mưa (tháng 1 đến tháng 3) và giữa mùa khô (tháng 8) hoặc cuối mùa khô (tháng 10 đến tháng 12) (Fry và cs., 2001); ở Indonesia, con cái mang trứng trong ống dẫn trứng giữa mùa khô (tháng 6 đến tháng 8) và phôi đã phát triển đến giai đoạn cuối bắt đầu mùa mưa (tháng 12 năm trước đến tháng 1 năm sau) (Bergman, 1949); ở Ấn Độ con cái mang phôi thai xuất hiện ở đầu mùa mưa tháng 6 đến tháng 7 (Karthikeyan & Balasubramanian, 2007); ở Việt Nam loài này ghi nhận có từ 3-4 con trong một lứa đẻ từ tháng 10 đến tháng 11.
Độc tố học: Độc tố thần kinh. Liều gây chết ở chuột LD50 là 0.62 mg/kg (Bergman, 1949).
Sử dụng và thương mại: Thực phẩm, thuốc truyền thống và kỹ nghệ da.
Tình trạng: Thường gặp trong các vùng biển Việt Nam.
Ghi chú: Một trong những loài rắn biển thường được đánh bắt cùng với loài Hydrophis cyanocinctus ở các tàu giã cào trong vùng Châu Á. Mẫu đang lưu giữ tại Viện Hải dương học, thành phố Nha Trang, năm 2001 - 2013.",,
287,HYDROPHIIDAE,Hydrophis cyanocinctus.          ,"(Daudin, 1803)",Blue banded sea snake,Sông chằn,,,E 55506,"Hiện trạng bảo tồn:
CITES (2013): Không.
Nghị định số 160/2013/ND-CP: Không.
Danh lục đỏ IUCN (2015.2): Ít liên quan.
Sách đỏ Việt Nam (2007): Không.
Đặc điểm nhận dạng: Hàng vảy quanh cổ 27–35, hiếm khi 25; hàng vảy quanh thân 37–47; vảy bụng 279–390; răng xương hàm trên phía sau răng nanh độc 5–8.
Màu sắc: màu sắc cơ thể thường thay đổi, đặc biệt là các khoanh, cơ thể vàng nhạt hoặc xám xanh ở lưng, hơi trắng ở phần bụng. Các khoanh có màu đen hoặc hơi xanh sẫm, có thể là: a) bao bọc quanh và rộng nhất ở phía lưng, b) bao quanh cơ thể và chiều rộng khá đồng nhất, hoặc c) rộng nhất phía lưng và hẹp dần đến biến mất ra hai bên sườn. Phần trước thân các khoanh ở lưng luôn rộng hơn khoảng cách giữa các khoanh. Các khoanh mờ dần theo tuổi.
Phân bố chung: Từ phía Tây vịnh Ả rập đến phía đông vùng biển Nhật Bản (David & Ineich, 1999).
Phân bố ở Việt Nam: Tìm thấy ở Vịnh Bắc Bộ (Shuntov, 1962; Kiên & Thắng 1995), cảng cá Cồn Chà tỉnh Bình Thuận (Dương, 1978; Kharin, 2006; Rasmussen và cs, 2011), cảng cá Long Hải tỉnh Bà Rịa - Vũng Tàu, cảng cá Sông Đốc tỉnh Cà Mau, cảng cá Tắc Cậu tỉnh Kiên Giang (Cao và cs, 2014).
Môi trường sống: Từ vùng bờ đến vùng biển khơi (Karthikeyan & Balasubramanian, 2007).
Thức ăn: Các loại cá nhỏ và các loài giáp xác nhỏ (tôm, cua, ghẹ) (Karthikeyan & Balasubramanian, 2007).
Sinh sản: Trứng thai - đẻ con, mỗi lứa từ 3 đến 7 con (Karthikeyan & Balasubramanian, 2007).
Độc tố học: Độc tố thần kinh. Liều gây chết ở chuột 0,35 mg/kg (Karthikeyan & Balasubramanian, 2007).
Sử dụng và thương mại: Dược phẩm, thuốc truyền thống và kỹ nghệ da, đây là loài được đánh bắt phổ biến và cũng là loài xuất khẩu phổ biến nhất cùng với loài Hydrophis curtus ở Việt Nam.
Tình trạng: Thường gặp ở vùng biển Việt Nam.
Ghi chú: Một trong những loài rắn biển lớn nhất, xấp xỉ 3 m. Mẫu đang lưu giữ tại Viện
Hải dương học, Nha Trang, trong năm 2001-2013.",,
