TT,Nhóm mẫu,Số hiệu,Họ,Loài,Tác giả,Tên việt,Nơi thu,Ngày thu,Long,Lat,CT,IUCN,SĐVN,KT,TP,LC/MN,Thông tin
32,Thân mềm,E.57312,Cerithiidae,Cerithium nodulosum,"Bruguière, 1792",Ốc hút lớn,Thuyền Chài,30.10.2020,08°15'52.2,113°21'45.5,,,,1,,1,"Tên tiếng Anh: Giant Knobbed Cerith
Tên tiếng Việt: Ốc sùng gai thô
Kích thước: trung bình 8-10 cm. Mẫu lớn nhất có kích cỡ đạt tới 12 cm
Sinh thái học: Sống ở rìa các rạn đá hoặc san hô, độ sâu 1-50 m  
Phân bố:  - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương  
- Việt Nam: Khánh Hòa, Ninh Thuận,  vv…  
Giá trị sử dụng: dùng làm hàng mỹ nghệ"
11,Thân mềm,E.57337,Turbinidae,Astralium rhodostomum,"(Lamarck, 1822)",Ốc nón gai cao,Đá Lớn,06.04.2021,09°59'46.1,113°50'39.1,,,,1,,1,"Astralium rhodostomum (Lamarck, 1822)
Tên tiếng Anh: Rosemouth Starshell
Tên tiếng Việt: Ốc nón gai cao
Kích thước: trung bình 3-4 cm. Mẫu lớn nhất có kích cỡ đạt tới 5,5 cm
Sinh thái học: Sống bám trên đá, độ sâu 1-30 m  
Phân bố:  - Thế giới: Vùng biển Tây Thái Bình Dương  
- Việt Nam: Quảng Ngãi, Khánh Hòa, vv… 
Giá trị sử dụng: dùng làm hàng mỹ nghệ"
36,Thân mềm,E.57307,Bullidae,Bulla vernicosa,"Gould, 1859",Ốc trứng hẹp nâu,Thuyền Chài,30.10.2020,08°15'52.2,113°21'45.5,,,,,,,"Tên tiếng Anh: Jujube Bulla
Tên tiếng Việt: Ốc trứng hẹp nâu
Kích thước: trung bình 3,5-4,5 cm. Mẫu lớn nhất có kích cỡ đạt tới 5 cm
Sinh thái học: Sống nơi các rạn đá, độ sâu 1-25 m  
Phân bố:  - Thế giới: Vùng biển Ân Độ - Thái Bình Dương  
- Việt Nam: Khánh Hòa, Phú Quốc, Côn Đảo, vv…  
Giá trị sử dụng: dùng làm hàng mỹ nghệ"
50,Thân mềm,E.57298,Strombidae,Conomurex luhuanus,"(Linnaeus, 1758)",Ốc nhảy đỏ lợi,Tốc Tan,13.10.2020,08°49'38.3,113°56'06.5,,,,1,1,,"Tên tiếng Anh: Strawberry Conch
Tên tiếng Việt: Ốc nhảy đỏ lợi
Kích thước: trung bình 5-6 cm. Mẫu lớn nhất có kích cỡ đạt tới 7.1 cm
Nơi sống: Sống ở đáy cát hoặc đá trong vùng rạn san hô 
Phân bố:  - Thế giới: Vùng biển Tây Thái Bình Dương 
- Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Ninh Thuận, Bình Thuận, vv…
Giá trị sử dụng: dùng làm thực phẩm và hàng mỹ nghệ

Nơi thu: Tốc Tan, ngày 13/10/2020"
48,Thân mềm,E.57328,Strombidae,Conomurex luhuanus,"(Linnaeus, 1758)",Ốc nhảy đỏ lợi,Đá Lớn,06.04.2021,09°59'46.1,113°50'39.1,,,,1,1,,"Tên tiếng Anh: Strawberry Conch
Tên tiếng Việt: Ốc nhảy đỏ lợi
Kích thước: trung bình 5-6 cm. Mẫu lớn nhất có kích cỡ đạt tới 7.1 cm
Nơi sống: Sống ở đáy cát hoặc đá trong vùng rạn san hô 
Phân bố:  - Thế giới: Vùng biển Tây Thái Bình Dương 
- Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Ninh Thuận, Bình Thuận, vv…
Giá trị sử dụng: dùng làm thực phẩm và hàng mỹ nghệ"
49,Thân mềm,E.57388,Strombidae,Conomurex luhuanus,"(Linnaeus, 1758)",Ốc nhảy đỏ lợi,Nam Yết,14.04.2021,10°10'35.9,114°21'45.5,,,,1,1,,"Tên tiếng Anh: Strawberry Conch
Tên tiếng Việt: Ốc nhảy đỏ lợi
Kích thước: trung bình 5-6 cm. Mẫu lớn nhất có kích cỡ đạt tới 7.1 cm
Nơi sống: Sống ở đáy cát hoặc đá trong vùng rạn san hô 
Phân bố:  - Thế giới: Vùng biển Tây Thái Bình Dương 
- Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Ninh Thuận, Bình Thuận, vv…
Giá trị sử dụng: dùng làm thực phẩm và hàng mỹ nghệ"
27,Thân mềm,E.57338,Conidae,Conus distans,"Hwass in Bruguière, 1792",Ốc cối vàng nhạt,Đá Lớn,06.04.2021,09°59'46.1,113°50'39.1,,LC,,1,,1,"Tên tiếng Anh: Distant Cone
Tên tiếng Việt: Ốc cối vàng nhạt
Kích thước: trung bình 8-10cm. Mẫu lớn nhất có kích cỡ đạt tới 15 cm
Nơi sống: Sống trên đáy đá, rạn san hô, độ sâu từ 1-20 m 
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương  
- Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Ninh Thuận, vv… 
Giá trị sử dụng: dùng làm hàng mỹ nghệ"
56,Thân mềm,E.57342,Conidae,Conus flavidus,"Lamarck, 1810",Ốc cối vàng miệng tím,Đá Lớn,06.04.2021,09°59'46.1,113°50'39.1,,LC,,1,,1,"Tên tiếng Anh: Yellow Pacific Cone
Tên tiếng Việt: Ốc cối đuôi bằng đầu tím
Kích thước: trung bình 5-6 cm. Mẫu lớn nhất có kích cỡ đạt tới 7 cm
Nơi sống: Sống ở đáy cát, độ sâu từ 1-10 m 
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương  
- Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, vv… 
Giá trị sử dụng: dùng làm hàng mỹ nghệ"
1,Thân mềm,E.57343,Conidae,Conus imperialis,"Linnaeus, 1758",Ốc cối vua,Đá Lớn,06.04.2021,09°59'46.1,113°50'39.1,,LC,,1,,1,"Ốc cối vua – Imperial Cone
Kích thước: trung bình 6-8 cm. Mẫu lớn nhất có kích cỡ đạt tới 10 cm
Sinh thái học: Sống ở đáy cát và đá vùng rạn san hô, độ sâu từ 1-75 m 
Phân bố:   - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương
  - Việt Nam: Vùng biển Khánh Hòa, Ninh Thuận, Côn Đảo, vv… 
Giá trị sử dụng: dùng làm hàng mỹ nghệ"
12,Thân mềm,E.57396,Conidae,Conus leopardus,"(Röding, 1798)",Ốc cối hột mè trắng,Thuyền Chài,02.05.2021,08°16'14.3,113°21'28.7,,LC,,1,,1,"Ốc cối hột mè trắng – Leopard Cone
Kích thước: trung bình 7-13cm. Mẫu lớn nhất có kích cỡ đạt tới 17 cm
Sinh thái học: Sống ở đáy cát quanh các rạn đá và san hô, vùng triều đến độ sâu 40 m  
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương 
       - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, vv… 
Giá trị sử dụng: dùng làm hàng mỹ nghệ"
